id,date,HIC,well,scene,intensity_max-DAPI Class,chelation,label_count,area_mean
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_70_69_P7-E9.ome__0__Image:0,2024-08-07,48,E9,P7-E9,1.0,50uM DFP,4,573.364455895
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_95_94_P11-F9.ome__0__Image:0,2024-08-07,48,F9,P11-F9,0.0,100uM DFP,201,13.183399843781096
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_95_94_P11-F9.ome__0__Image:0,2024-08-07,48,F9,P11-F9,1.0,100uM DFP,2,824.22054958
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_110_109_P4-H9.ome__0__Image:0,2024-08-07,72,H9,P4-H9,0.0,100uM DFO,44,0.5572293072727272
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_110_109_P4-H9.ome__0__Image:0,2024-08-07,72,H9,P4-H9,1.0,100uM DFO,1,517.97544273
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_17_12_P6-B9.ome__0__Image:0,2024-08-07,72,B9,P6-B9,0.0,Control,68,2.4462374825
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_17_12_P6-B9.ome__0__Image:0,2024-08-07,72,B9,P6-B9,1.0,Control,1,656.42872463
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_1_0_P8-B9.ome__0__Image:0,2024-08-07,72,B9,P8-B9,0.0,Control,64,0.4307414046875
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_1_0_P8-B9.ome__0__Image:0,2024-08-07,72,B9,P8-B9,1.0,Control,1,602.9417115
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_22_21_P7-B9.ome__0__Image:0,2024-08-07,72,B9,P7-B9,0.0,Control,73,0.64113783
