id,date,HIC,well,scene,label,area,intensity_max-DAPI Class,row,column,chelation,media
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,10,0.061603240000000004,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,11,0.13860729,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,12,742.5808557700001,1.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,13,0.18480972,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,14,10.99617834,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,1,0.41582187000000004,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,2,0.09240486,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,3,0.9548502200000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,4,0.09240486,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,5,0.24641296000000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,6,0.5082267300000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,7,0.20021053,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,8,1.06265589,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,9,0.23101215000000003,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,10,1.00105265,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,11,1.2628664200000002,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,12,0.24641296000000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,13,1.32446966,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,14,1.3398704700000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,15,0.8778461700000001,0.0,C,9,Control,NGM
