label_name,id,label,area,intensity_mean-nucleoli-labels,intensity_mean-conA,intensity_mean-MitoTDR,solidity
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,1,1469.167104,0.7454598711189221,256.04100761570004,295.11511423550087,0.7832071576049552
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,2,505.6448000000001,0.08936170212765958,407.0757446808511,389.1506382978723,0.9767248545303407
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,3,336.092416,1.2586427656850192,233.87580025608196,326.2509603072983,0.9455205811138013
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,4,228.07808000000003,1.639622641509434,677.311320754717,502.52830188679246,0.8548387096774194
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,5,750.9363200000001,0.9025787965616046,356.70659025787967,383.8756446991404,0.9361587982832619
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,6,634.7456000000001,1.6359322033898305,266.6677966101695,356.09898305084744,0.9382951653944022
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,7,1848.7234560000002,1.1270949720670391,281.4864990689013,314.42248603351953,0.9529724933451641
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,8,877.8854400000001,1.3818627450980392,335.725,341.34362745098036,0.8669783255418615
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,9,825.8147840000001,3.4611776967170402,232.01146430432516,357.21625846795206,0.9333657587548639
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,10,1373.6325120000001,2.8471177944862154,219.99279448621553,340.55075187969925,0.8978902953586497
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,11,1484.6592000000003,2.418840579710145,219.58231884057972,326.6066666666667,0.7882111034955449
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,12,1952.4344320000002,2.418778928807582,208.7716552788186,331.3647784879877,0.9610252065240416
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,13,3066.1440000000002,2.445333333333333,238.29291228070176,316.93052631578945,0.9332023575638507
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,14,1257.441792,3.1779603011635866,235.73716632443532,313.44455852156057,0.9662698412698413
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,15,1756.2012160000002,1.85689781916197,321.4324920362656,344.3798088703749,0.9353655741462297
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,16,1192.0307200000002,2.7418772563176894,219.0274368231047,335.82527075812277,0.9418565113906835
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,17,3059.6889600000004,4.2035161744022504,268.0589310829817,348.63023909985935,0.9226576693485596
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,18,2458.5095680000004,2.131454577279888,291.9284088920007,317.7720987222125,0.9146653858469421
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,19,1765.2382720000003,4.472452462213554,296.45465626523645,326.8856655290102,0.917262969588551
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,20,2312.1953280000002,2.9864135492276196,264.3277498604132,356.0504373720454,0.9504687776401911
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,21,4472.912384,4.000769674812392,281.13142197421587,324.7130075043294,0.9261338323086519
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,22,1456.2570240000002,1.9657210401891252,261.9373522458629,322.5183215130024,0.8569258040010129
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,23,1616.3420160000003,5.3706070287539935,266.3205537806177,332.6033013844515,0.9559684398065665
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,24,1844.8504320000002,3.9846046186144157,210.28924655936552,352.57965943550266,0.9495016611295681
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,25,1847.4324480000002,5.554390868856277,229.71488469601678,316.92802236198463,0.9171117282631917
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,26,1653.350912,2.6241540864133266,287.78266527850076,319.08120770432066,0.6485482781904119
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,27,932.1077760000001,0.7645429362880887,215.3264081255771,317.2903970452447,0.9743589743589743
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,28,2197.2956160000003,4.396004700352527,268.1226008617313,298.05777516647083,0.7950794145126129
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,29,1336.1932800000002,7.149114331723028,377.7030595813205,355.8206119162641,0.6678855667885567
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,30,1577.1814400000003,5.033287858117326,277.87039563437924,304.76016371077765,0.7459800529208224
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,31,1646.0352000000003,4.748235294117647,261.17411764705884,359.57019607843137,0.9467821782178217
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,32,1643.4531840000002,6.133542812254517,291.7376276512176,309.4378109452736,0.953320019970045
cell-labels,plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,33,1426.9941760000002,6.794028950542823,309.9128468033776,327.9686369119421,0.8
